topic_id,title,clean_title,forum_url,author,tags,release_id,release_title,vn_id,vn_title,released,platforms,languages,engine,script_format_hint,release_url,vn_url,external_url,match_confidence,source_catalog_date
70986,Giving the Best: Shadows of the Past [OTOME JAM 2026][FREE],Giving the Best: Shadows of the Past,https://lemmasoft.renai.us/forums/viewtopic.php?t=70986,rosemask22,OTOME JAM 2026; FREE,r159054,Giving the Best: Shadows of the Past,v66263,Giving the Best: Shadows of the Past,2026-06-22,win; lin; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r159054,https://vndb.org/v66263,https://hyakuten-games.itch.io/giving-the-best-shadows-of-the-past,exact_title_unique_vn,2026-07-13
70972,The End of Ambition [FREE] [COMPLETE],The End of Ambition,https://lemmasoft.renai.us/forums/viewtopic.php?t=70972,RabisbonaProductions,FREE; COMPLETE,r158642,The End of Ambition,v66138,The End of Ambition,2026-06-18,win; lin; and,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r158642,https://vndb.org/v66138,https://ratisbona-productions.itch.io/the-end-of-ambition,exact_title_unique_vn,2026-07-13
70860,Last 4 Days in Heiwa City [Family Drama][Minimalistic Pixel Art][Short][Free],Last 4 Days in Heiwa City,https://lemmasoft.renai.us/forums/viewtopic.php?t=70860,Pseudoku,Family Drama; Minimalistic Pixel Art; Short; Free,r154265,Last 4 Days in Heiwa City,v64314,Last 4 Days in Heiwa City,2026-04-19,win; lin; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r154265,https://vndb.org/v64314,https://pseudoku.itch.io/last-4-days-in-heiwa-city,exact_title_unique_vn,2026-07-13
70845,Ashes to Ashes [Horror] [Very Short] [Free],Ashes to Ashes,https://lemmasoft.renai.us/forums/viewtopic.php?t=70845,Doksa,Horror; Very Short; Free,r105874,Ashes to Ashes,v43894,Ashes to Ashes,2023-04-08,win; web,en,RPG Maker,unknown,https://vndb.org/r105874,https://vndb.org/v43894,https://hawkzombie.itch.io/ashes-to-ashes,exact_title_unique_vn,2026-07-13
70831,Ninon the Upside-Down Mermaid [Otome][Fairy Tale][Free],Ninon the Upside-Down Mermaid,https://lemmasoft.renai.us/forums/viewtopic.php?t=70831,Photon,Otome; Fairy Tale; Free,r142217,Ninon the Upside-Down Mermaid,v58317,Ninon the Upside-Down Mermaid,2026-04-17,win; lin; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r142217,https://vndb.org/v58317,https://madame-photon.itch.io/ninon-the-upside-down-mermaid,exact_title_unique_vn,2026-07-13
70800,Blue Horizon: The Pretty Boy Antonio Chandrani-Rivera [BxB] [free & short science fantasy romcom],Blue Horizon: The Pretty Boy Antonio Chandrani-Rivera,https://lemmasoft.renai.us/forums/viewtopic.php?t=70800,flowerymoon,BxB; free & short science fantasy romcom,r153607,Blue Horizon: The Pretty Boy Antonio Chandrani-Rivera,v64028,Blue Horizon: The Pretty Boy Antonio Chandrani-Rivera,2026-03-30,win; lin; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r153607,https://vndb.org/v64028,https://flowerymoon.itch.io/blue-horizon-the-pretty-boy-antonio-chandrani-rivera,exact_title_unique_vn,2026-07-13
70697,My Furry Secret [Shoujousei Jam 2026 - Free],My Furry Secret,https://lemmasoft.renai.us/forums/viewtopic.php?t=70697,dillings1004,Shoujousei Jam 2026 - Free,r148419,My Furry Secret!,v62181,My Furry Secret!,2026-02-06,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r148419,https://vndb.org/v62181,https://ketsugames.itch.io/my-furry-secret,exact_title_unique_vn,2026-07-13
70694,"Laments of a Platinum Rose [STEAM, ITCH.IO] [$1 OR FREE VERSION]",Laments of a Platinum Rose,https://lemmasoft.renai.us/forums/viewtopic.php?t=70694,MullyWhizz,STEAM; ITCH.IO; $1 OR FREE VERSION,r146983,Laments of a Platinum Rose,v61514,Laments of a Platinum Rose,2025-12-21,win; lin; mac,en,,unknown,https://vndb.org/r146983,https://vndb.org/v61514,https://loapr.itch.io/loapr,exact_title_unique_vn,2026-07-13
70663,Giving the Best: Product Demonstration [SHOUJOSEI JAM 2026][FREE],Giving the Best: Product Demonstration,https://lemmasoft.renai.us/forums/viewtopic.php?t=70663,rosemask22,SHOUJOSEI JAM 2026; FREE,r148556,Giving the Best: Product Demonstration,v62215,Giving the Best: Product Demonstration,2026-02-08,win; lin; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r148556,https://vndb.org/v62215,https://hyakuten-games.itch.io/giving-the-best-prototype,exact_title_unique_vn,2026-07-13
70652,"BE NUNNER - yuri, comedy, short [FREE]",BE NUNNER,https://lemmasoft.renai.us/forums/viewtopic.php?t=70652,Borgarlover,FREE,r148114,Be Nunner,v62056,Be Nunner,2026-01-30,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r148114,https://vndb.org/v62056,https://borgarlover.itch.io/be-nunner,exact_title_unique_vn,2026-07-13
